name,url,rate,delivery,sale,price
ترابيزة تليفزيون 160*30*45 سم,https://www.jumia.com.eg//ar/generic-tv-table-1603045-cm-38827675.html,0 out of 5,جنيه 172.14,58%,"جنيه 3,000.00"
واحدة تلفزيون من اول لاجشرى,https://www.jumia.com.eg//ar/generic-television-unit-luxury-black-33188863.html,0 out of 5,جنيه 172.14,0%,"جنيه 5,000.00"
ترابيزة تليفزيون 120*30*45 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38828128.html,0 out of 5,جنيه 172.14,70%,"جنيه 3,000.00"
tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-indoor-flat-screen-cover-protector-for-43inch-tv-gray-gray-21917643.html,0 out of 5,جنيه 333.09,29%,جنيه 609.00
tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-49inch-flat-screen-dust-proof-protector-black-black-22060313.html,0 out of 5,جنيه 430.03,17%,جنيه 836.00
tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-55inch-flat-screen-dust-proof-protector-black-black-22060339.html,0 out of 5,جنيه 415.97,23%,جنيه 857.00
ترابيزة تليفزيون 120*30*40 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203040cm-38827663.html,0 out of 5,جنيه 172.14,68%,"جنيه 3,000.00"
ترابيزة تليفزيون 120*30*45 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38827687.html,0 out of 5,جنيه 172.14,68%,"جنيه 3,000.00"
كتبه تليفزيون 120*120 سم بني في ابيض,https://www.jumia.com.eg//ar/generic-modern-wall-mount-t.v-unit-120120-brownwhite-26627440.html,0 out of 5,جنيه 172.14,13%,"جنيه 4,500.00"
مكتب دراسه بدرج مفتوح - 90*45*75 - ابيض,https://www.jumia.com.eg//ar/generic-stady-desk-904575-white-32643567.html,0 out of 5,جنيه 172.14,33%,"جنيه 1,199.00"
General طاولة التلفاز والقهوة العصرية - 120 سم - ابيض,https://www.jumia.com.eg//ar/general-modern-tv-and-coffee-table-120-cm-white-38827658.html,0 out of 5,جنيه 172.14,29%,"جنيه 1,200.00"
Home Decor Center ترابيزة سرير جانبية مع رف تخزين - ابيض - 40*30*55,https://www.jumia.com.eg//ar/home-decor-center-bedside-table-side-table-with-drawer-white-403055-cm-304-27151996.html,3.3 out of 5,جنيه 172.14,72%,"جنيه 2,500.00"
Modern Home ترابيزة سرير جانبية مع رف تخزين - ابيض -55*40*40,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-white-554040-27151979.html,0 out of 5,جنيه 172.14,54%,"جنيه 1,200.00"
ترابيزة تليفزيون زجزاج مودرن - بيج,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-beige-120cm-32489890.html,0 out of 5,جنيه 172.14,18%,"جنيه 1,099.00"
Modern Home ترابيزة سرير جانبية مع رف تخزين - اسود 55*40*40,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-black-554040-cm-305-27152038.html,0 out of 5,جنيه 172.14,58%,"جنيه 1,200.00"
Modern Home وحدة تلفزيون مثبتة على الحائط مع خزانة  مع وحدة حامل تلفزيون مع أرفف لغرفة المعيشة (بني مع ابيض),https://www.jumia.com.eg//ar/modern-home-wall-mounted-tv-unit-cabinet-with-tv-stand-unit-wall-shelf-for-living-room-brownwhite-37664677.html,5 out of 5,جنيه 52.44,54%,"جنيه 1,400.00"
Modern Home Modern Tv Table - Black Oak,https://www.jumia.com.eg//ar/modern-tv-table-black-oak-generic-mpg142410.html,4.3 out of 5,جنيه 172.14,58%,"جنيه 2,000.00"
Modern Home مكتب عصرى مع رفوف جانبية  - ابيض 100 سم,https://www.jumia.com.eg//ar/modern-home-office-with-side-shelves-white-100-cm-21414624.html,4.1 out of 5,جنيه 52.44,53%,"جنيه 2,000.00"
Modern Home طاولة تلفزيون عصرية - 80*45*30 سم - أبيض,https://www.jumia.com.eg//ar/modern-home-modern-tv-table-804530cm-white-6905608.html,4 out of 5,جنيه 172.14,68%,"جنيه 2,000.00"
طاولة جانبية مع صينية قابلة للإزالة,https://www.jumia.com.eg//ar/generic-side-table-with-removable-tray-29439599.html,0 out of 5,جنيه 172.14,0%,جنيه 900.00
ترابيزة تليفزيون زجزاج مودرن - بيج,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-beige-120cm-32489889.html,0 out of 5,جنيه 172.14,18%,"جنيه 1,099.00"
ترابيزة جانبية مودرن - خشب مصنع,https://www.jumia.com.eg//ar/generic-minttm-side-table-engineered-wood-40844537.html,0 out of 5,جنيه 172.14,41%,"جنيه 1,600.00"
Modern Home Modern Table -  80*45*30cm - Light Brown,https://www.jumia.com.eg//ar/modern-home-modern-table-804530cm-light-brown-7204534.html,4.6 out of 5,جنيه 172.14,28%,جنيه 900.00
Modern Home طاولة عصرية - 80*45*30 سم - أسود,https://www.jumia.com.eg//ar/modern-home-modern-table-804530cm-black-7204533.html,4.3 out of 5,جنيه 172.14,28%,جنيه 900.00
ترابيزة تليفزيون 120*30*40 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203040cm-39707114.html,0 out of 5,جنيه 172.14,68%,"جنيه 3,000.00"
ترابيزة تليفزيون زجزاج مودرن - اسود,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-black-32489876.html,0 out of 5,جنيه 172.14,18%,"جنيه 1,099.00"
Modern Home طاولة التلفاز والقهوة العصرية - 120 سم - ابيض,https://www.jumia.com.eg//ar/modern-home-modern-tv-and-coffee-table-120-cm-white-19872544.html,4.3 out of 5,جنيه 172.14,53%,"جنيه 2,000.00"
Sarcomisr Manager Medical Office Chair - Black & White ,https://www.jumia.com.eg//ar/sarcomisr-manager-medical-office-chair-black-white-19932697.html,3.9 out of 5,جنيه 52.44,16%,"جنيه 1,600.00"
Rattan Folding Table - Biege,https://www.jumia.com.eg//ar/rattan-folding-table-biege-27333720.html,4.8 out of 5,جنيه 52.44,43%,جنيه 350.00
ترابيزة تليفزيون زجزاج مودرن - بني,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-brown-120cm-32489887.html,0 out of 5,جنيه 172.14,18%,"جنيه 1,099.00"
Modern Home وحدة للكتب والديكورات والاكسسوارات متعددة الارفف - اسود,https://www.jumia.com.eg//ar/unit-for-booksdecorations-and-accessories-with-multiple-shelves-black-modern-home-mpg842306.html,4.1 out of 5,جنيه 52.44,25%,"جنيه 1,000.00"
Modern Home وحدة تخزين مع أرفف للكتب والديكور والإكسسوارات مع خزانة _ أبيض_ W9,https://www.jumia.com.eg//ar/modern-home-storage-unit-with-shelves-for-books-decor-and-accessories-with-cabinetwhitew9-21229676.html,4.3 out of 5,جنيه 52.44,15%,"جنيه 2,000.00"
Modern Home ترابيزة قهوه وسط  - 3 قطع - بني,https://www.jumia.com.eg//ar/modern-home-coffe-table-3-pcs-brown-27112486.html,3.8 out of 5,جنيه 172.14,56%,"جنيه 1,800.00"
General ترابيزة سرير جانبية مع رف تخزين - ابيض - 40*30*55,https://www.jumia.com.eg//ar/general-bedside-table-side-table-with-drawer-white-403055-cm-304-38827001.html,0 out of 5,جنيه 172.14,0%,"جنيه 1,000.00"
هوم جاليري وحدة تلفاز من الخشب الطبيعي 30X35X120 بيج,https://www.jumia.com.eg//ar/generic-home-gallery-natural-wood-tv-unit-30x35x120-brown-40814393.html,0 out of 5,جنيه 172.14,17%,"جنيه 3,948.00"
Sarcomisr وحدة تليفزيون 160*40*45 اسود * اخضر,https://www.jumia.com.eg//ar/sarcomisr-tv-unit-160x40x45-blackgreen-38653024.html,0 out of 5,جنيه 172.14,20%,"جنيه 2,500.00"
tv covers Protector,https://www.jumia.com.eg//ar/generic-tv-cover-protection-sleeve-fits-43inch-led-oled-lcd-black-22126215.html,0 out of 5,جنيه 327.91,29%,جنيه 589.00
Gad Woods طاولة تلفزيون عصرية - 80*45*30 سم - أبيض,https://www.jumia.com.eg//ar/gad-woods-modern-tv-table-804530cm-white-27066253.html,0 out of 5,جنيه 172.14,50%,"جنيه 1,300.00"
طاولة عصرية - 80*45*30 سم - أسود,https://www.jumia.com.eg//ar/modern-table-804530cm-black-generic-mpg735232.html,4.3 out of 5,جنيه 172.14,50%,"جنيه 1,400.00"
واحدة تلفزيون من اول لاجشرى,https://www.jumia.com.eg//ar/generic-television-unit-luxury-gray-33188918.html,0 out of 5,جنيه 172.14,0%,"جنيه 5,000.00"
ترابيزة تليفزيون 160*30*45 سم,https://www.jumia.com.eg//ar/generic-tv-table-1603045-cm-38827675.html,0 out of 5,جنيه 172.14,58%,"جنيه 3,000.00"
واحدة تلفزيون من اول لاجشرى,https://www.jumia.com.eg//ar/generic-television-unit-luxury-black-33188863.html,0 out of 5,جنيه 172.14,0%,"جنيه 5,000.00"
ترابيزة تليفزيون 120*30*45 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38828128.html,0 out of 5,جنيه 172.14,70%,"جنيه 3,000.00"
tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-indoor-flat-screen-cover-protector-for-43inch-tv-gray-gray-21917643.html,0 out of 5,جنيه 333.09,29%,جنيه 609.00
tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-49inch-flat-screen-dust-proof-protector-black-black-22060313.html,0 out of 5,جنيه 430.03,17%,جنيه 836.00
tv covers Protector,https://www.jumia.com.eg//ar/generic-universal-55inch-flat-screen-dust-proof-protector-black-black-22060339.html,0 out of 5,جنيه 415.97,23%,جنيه 857.00
ترابيزة تليفزيون 120*30*40 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203040cm-38827663.html,0 out of 5,جنيه 172.14,68%,"جنيه 3,000.00"
ترابيزة تليفزيون 120*30*45 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38827687.html,0 out of 5,جنيه 172.14,68%,"جنيه 3,000.00"
كتبه تليفزيون 120*120 سم بني في ابيض,https://www.jumia.com.eg//ar/generic-modern-wall-mount-t.v-unit-120120-brownwhite-26627440.html,0 out of 5,جنيه 172.14,13%,"جنيه 4,500.00"
مكتب دراسه بدرج مفتوح - 90*45*75 - ابيض,https://www.jumia.com.eg//ar/generic-stady-desk-904575-white-32643567.html,0 out of 5,جنيه 172.14,33%,"جنيه 1,199.00"
General طاولة التلفاز والقهوة العصرية - 120 سم - ابيض,https://www.jumia.com.eg//ar/general-modern-tv-and-coffee-table-120-cm-white-38827658.html,0 out of 5,جنيه 172.14,29%,"جنيه 1,200.00"
Modern Home Home  Studying Desk - 90x80x40 -  White,https://www.jumia.com.eg//ar/home-studying-desk-90x80x40-white-modern-home-mpg853625.html,4.2 out of 5,جنيه 172.14,69%,"جنيه 2,200.00"
ترابيزة تليفزيون 120*30*45 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38827641.html,0 out of 5,جنيه 172.14,68%,"جنيه 3,000.00"
Homztown بين باج اكس لارج اسود,https://www.jumia.com.eg//ar/homztown-x-large-beanbag-black-23551160.html,0 out of 5,جنيه 52.44,32%,"جنيه 1,200.00"
ترابيزة تليفزيون 120*30*45 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38827667.html,0 out of 5,جنيه 172.14,72%,"جنيه 3,000.00"
Modern Home مكتب عصرى مع رفوف جانبية  - ابيض - 140×60 سم,https://www.jumia.com.eg//ar/modern-home-modern-office-with-side-shelves-white-14060-cm-21170318.html,4.2 out of 5,جنيه 52.44,15%,"جنيه 1,650.00"
ترابيزة تليفزيون 120*30*45 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38465286.html,0 out of 5,جنيه 52.44,68%,"جنيه 3,000.00"
Minihomz مكتب + درج,https://www.jumia.com.eg//ar/minihomz-home-desk-37778553.html,4 out of 5,جنيه 52.44,31%,"جنيه 1,290.00"
Modern Home ترابيزة قهوه وسط  - 3 قطع ابيض - 303,https://www.jumia.com.eg//ar/modern-home-coffee-table-3-pcs-white-303-27112487.html,4.3 out of 5,جنيه 172.14,56%,"جنيه 1,800.00"
Modern Home وحدة تلفزيون مثبتة على الحائط مع خزانة  مع وحدة حامل تلفزيون مع أرفف لغرفة المعيشة (أبيض),https://www.jumia.com.eg//ar/modern-home-wall-mounted-tv-unit-cabinet-with-tv-stand-unit-wall-shelf-for-living-room-white-37664679.html,0 out of 5,جنيه 52.44,54%,"جنيه 1,400.00"
General مكتب عصرى مع رفوف جانبية  - ابيض 100 سم,https://www.jumia.com.eg//ar/general-office-with-side-shelves-white-100-cm-30916707.html,5 out of 5,جنيه 52.44,60%,"جنيه 2,200.00"
مرتبة ديامورا ارتفاع 25سم,https://www.jumia.com.eg//ar/generic-diamora-mattress-25-cm-height-22920980.html,3.4 out of 5,جنيه 172.14,25%,"جنيه 2,400.00 - جنيه 4,000.00"
Modern Home وحدة تلفزيون مثبتة على الحائط مع خزانة  مع وحدة حامل تلفزيون مع أرفف لغرفة المعيشة (أبيض مع اسود),https://www.jumia.com.eg//ar/modern-home-wall-mounted-tv-unit-cabinet-with-tv-stand-unit-wall-shelf-for-living-room-whiteblack-37664675.html,5 out of 5,جنيه 52.44,54%,"جنيه 1,400.00"
سريرمنطوي  90*190سم,https://www.jumia.com.eg//ar/generic-fold-able-bed-with-mattress-90190-cm-20785307.html,4.3 out of 5,جنيه 172.14,16%,"جنيه 4,800.00"
Modern Home GR_101 ترابيزة قهوة عصرية - 80×60 سم - بني,https://www.jumia.com.eg//ar/gr101-modern-coffee-table-8060-cm-brown-modern-home-mpg697017.html,4 out of 5,جنيه 172.14,40%,جنيه 500.00
Modern Home وحدة تخزين كتب عصرية مكونة من 7 طبقات,https://www.jumia.com.eg//ar/modern-home-modern-display-rack-7-tier-bookshelf-storage-rack-28520759.html,5 out of 5,جنيه 52.44,18%,"جنيه 2,200.00"
Minihomz مكتبة كتب minihomz,https://www.jumia.com.eg//ar/minihomz-book-case-minihomz-34255840.html,0 out of 5,جنيه 52.44,30%,"جنيه 1,420.00"
كرسى مكتب اسود ايطالى,https://www.jumia.com.eg//ar/office-chair-black-generic-mpg871032.html,4.2 out of 5,جنيه 52.44,29%,جنيه 450.00
Home  Studying Desk - 90x80x40 -  White,https://www.jumia.com.eg//ar/generic-home-studying-desk-90x80x40-white-37494601.html,0 out of 5,جنيه 172.14,54%,"جنيه 2,050.00"
Modern Home مكتب عصرى مع أرفف جانبية - أبيض - 140×130 سم,https://www.jumia.com.eg//ar/modern-home-modern-office-with-side-shelves-white-140130-cm-21414623.html,4.1 out of 5,جنيه 52.44,46%,"جنيه 3,500.00"
كرسى بار خشب زان,https://www.jumia.com.eg//ar/bar-wooden-chair-generic-mpg848599.html,4.2 out of 5,جنيه 52.44,20%,جنيه 500.00 - جنيه 530.00
كرسى بارمربع خشب زان ورنيش,https://www.jumia.com.eg//ar/beech-square-bar-chair-generic-mpg848614.html,3.1 out of 5,جنيه 52.44,8%,جنيه 450.00 - جنيه 500.00
Minihomz مكتب + وحدة مكتبة,https://www.jumia.com.eg//ar/minihomz-home-desk-37664621.html,0 out of 5,جنيه 52.44,11%,"جنيه 2,200.00"
Low Pvc Hard Back Chair - Black,https://www.jumia.com.eg//ar/hard-pvc-low-back-chair-black-generic-mpg715011.html,3.9 out of 5,جنيه 52.44,29%,جنيه 450.00
Modern Home طاولة سرير جانبية مع تخزين - بنى فاتح - T_102,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-light-brown-t102-21163171.html,4.2 out of 5,جنيه 172.14,60%,"جنيه 1,100.00"
Big كنبة سرير سوبر من بيج - رمادي,https://www.jumia.com.eg//ar/big-super-sofa-bed-gray-22454266.html,4 out of 5,جنيه 172.14,17%,"جنيه 3,500.00"
Modern Home Tv Table - 120 Cm -  Brown ,https://www.jumia.com.eg//ar/tv-table-120-cm-brown-modern-home-mpg892192.html,4.2 out of 5,جنيه 172.14,56%,"جنيه 2,000.00"
Modern Home وحدة تخزين الكتب والديكوات والاكسسوارات - ابيض,https://www.jumia.com.eg//ar/modern-home-book-storage-unit-decorations-and-accessories-white-21173146.html,4.2 out of 5,جنيه 52.44,12%,"جنيه 2,049.00"
Big كنبة سرير كلاسيك من بيج - رمادي غامق,https://www.jumia.com.eg//ar/big-classic-sofa-bed-from-big-dark-gray-22451647.html,2 out of 5,جنيه 172.14,30%,"جنيه 4,000.00"
Modern Home ترابيزة سرير جانبية مع رف تخزين - اسود - 40 × 40 × 43,https://www.jumia.com.eg//ar/bedside-table-side-table-with-storage-black-404043-modern-home-mpg864316.html,4.4 out of 5,جنيه 172.14,56%,"جنيه 1,100.00"
هوم جاليري وحدة تلفاز من الخشب الطبيعي 120X30X50 بيج,https://www.jumia.com.eg//ar/generic-home-gallery-natural-wood-tv-unit-120x30x50-brown-40844588.html,0 out of 5,جنيه 172.14,17%,"جنيه 5,004.00"
طاوله مودرن جانبيه,https://www.jumia.com.eg//ar/generic-modern-side-table-303537-cm-38494739.html,0 out of 5,جنيه 172.14,0%,جنيه 450.00
Modern Home Office Desk - 90×40×75 - White,https://www.jumia.com.eg//ar/generic-modern-home-office-desk-904075-white-37494625.html,0 out of 5,جنيه 52.44,52%,"جنيه 1,950.00"
مكتب ع شاسية معدن 100×60×75 سم,https://www.jumia.com.eg//ar/generic-desk-with-metal-chassis-1006075-cm-32525063.html,0 out of 5,جنيه 52.44,0%,"جنيه 1,299.00"
كرسي بلاستيك,https://www.jumia.com.eg//ar/plastic-chair-brown-generic-mpg821980.html,4.4 out of 5,جنيه 52.44,20%,جنيه 100.00
Arikaty كنبة سرير 3*1 رمادي,https://www.jumia.com.eg//ar/arikaty-31-sofa-bed-grey-22735024.html,0 out of 5,جنيه 172.14,30%,"جنيه 3,999.00"
ترابيزة تليفزيون زجزاج مودرن - ابيض,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-white-32489883.html,0 out of 5,جنيه 172.14,18%,"جنيه 1,099.00"
ترابيزة تليفزيون زجزاج مودرن - بني,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-brown-120cm-32489888.html,0 out of 5,جنيه 172.14,18%,"جنيه 1,099.00"
Modern Home Modern Library With Matching Shelves _White_W10,https://www.jumia.com.eg//ar/modern-home-modern-library-with-matching-shelves-whitew10-21310279.html,4.4 out of 5,جنيه 52.44,14%,"جنيه 1,450.00"
ترابيزة تليفزيون زجزاج مودرن - بيج,https://www.jumia.com.eg//ar/generic-zigzag-tv-table-beige-32489910.html,0 out of 5,جنيه 172.14,18%,"جنيه 1,099.00"
Modern Home مكتب خشبي قابل للطي  - 60*40,https://www.jumia.com.eg//ar/modern-home-wall-wooden-disk-60-x-40-cm-16826018.html,4.4 out of 5,جنيه 52.44,6%,جنيه 400.00
Modern Home مكتب خشبي قابل للطي - 60x40 - اسود,https://www.jumia.com.eg//ar/modern-home-wooden-foldable-office-desk-60x40-cm-black-19932709.html,4.2 out of 5,جنيه 52.44,28%,جنيه 400.00
Modern Home ترابيزة سرير جانبية مع رف تخزين - ابيض - 40 × 40 × 43,https://www.jumia.com.eg//ar/modern-home-bedside-table-side-table-with-storage-white-404043-20134978.html,4.3 out of 5,جنيه 172.14,56%,"جنيه 1,100.00"
ترابيزة تليفزيون 120*30*45 سم,https://www.jumia.com.eg//ar/generic-tv-table-1203045-cm-38827683.html,0 out of 5,جنيه 172.14,73%,"جنيه 3,000.00"
Modern Home 90*40*75 - مكتب منزلي للدراسه  - اسود,https://www.jumia.com.eg//ar/modern-home-home-studying-office-9040x75-black-32532343.html,0 out of 5,جنيه 172.14,63%,"جنيه 1,850.00"
General ترابيزه تليفزيون   - 120 سم - ابيض,https://www.jumia.com.eg//ar/general-modern-tv-table-120-cm-white-38491956.html,0 out of 5,جنيه 172.14,35%,"جنيه 2,000.00"
Home  Studying Desk - 90x80x40 -  White & Brown,https://www.jumia.com.eg//ar/generic-home-studying-desk-90x80x40-white-brown-37494583.html,0 out of 5,جنيه 172.14,52%,"جنيه 1,950.00"
كرسي وطقطوقه بلاستيك- بني 5 قطعة,https://www.jumia.com.eg//ar/generic-plastic-chair-and-taqqa-brown-5-pieces-26465984.html,0 out of 5,جنيه 52.44,15%,جنيه 350.00
دولاب شانون ارفف تخزين بيج فى بنى 4 ارفف,https://www.jumia.com.eg//ar/generic-cupboard-storage-shelves-page-in-4-shelves-28072108.html,0 out of 5,جنيه 10.83,33%,جنيه 888.00
Big ركنة سرير ماجيك من بيج - كافيه,https://www.jumia.com.eg//ar/big-magic-corner-bed-from-big-beige-22596558.html,5 out of 5,جنيه 172.14,17%,"جنيه 4,700.00"
طاوله خشبيه قابله للطى,https://www.jumia.com.eg//ar/foldable-wooden-table-60x100cm-generic-mpg715003.html,3.7 out of 5,جنيه 52.44,4%,جنيه 500.00
Gad Woods وحدة تلفزيون مثبتة على الحائط مع خزانة مع وحدة حامل تلفزيون مع أرفف لغرفة المعيشة - بني,https://www.jumia.com.eg//ar/gad-woods-tv-unit-with-2-wall-shelf-for-living-room-brown-39620074.html,5 out of 5,جنيه 52.44,68%,"جنيه 1,400.00"
General كرسي مدير عالي دوار مع مسند رأس ( أسود اللون ) - دريم ديسك,https://www.jumia.com.eg//ar/general-high-swivel-director-chair-with-headrest-black-color-dream-disk-40433472.html,0 out of 5,جنيه 52.44,33%,"جنيه 2,000.00"
Big كنبة سرير سوبر من بيج - رمادي,https://www.jumia.com.eg//ar/big-super-sofa-bed-from-big-beige-22441040.html,4.7 out of 5,جنيه 172.14,17%,"جنيه 3,500.00"
